,lot_name,lot_address,daily_rates,monthly_rates,rate_simple,lot_url
10, 290 Commercial Street Parking,"290 Commercial Street Boston, MA 02109, US ",30 Min:  $7; 1 Hour:  $12; 1.5 Hours:  $17; 12 Hours:  $22; Daily Max:  $27; Early Bird: In Between 5am-9am / Out By 7pm $18; Evening: Mon-Thu; In After 4pm / Out By 5am $16; Evening: Fri; In After 4pm / Out By 5am $20; Evening: Sat; In After 4pm / Out By 5am $22; Evening: Sun; In After 4pm / Out By 5am $20; ,Mon-Sun:  24 Hours,$12.00 ,https://www.parkme.com/lot/15225/290-commercial-street?entry-date=2022-01-24T13:33&duration=60
12, Stillings Garage,"11 Stillings St Boston, MA 02210, US ",30 Min:  $7; 1 Hour:  $12; 1.5 Hours:  $17; Daily Max:  $25; Early Bird: In By 8am / Out By 6pm $20; Evening: Mon-Fri; In After 5pm $10; Sat-Sun:  $16; Max: With Validation $23; ,Monthly:  $150-$480,$12.00 ,https://www.parkme.com/lot/32201/stillings-garage-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
13, CityPlace Garage,"40 Charles St S Boston, MA 02116, US ",1 Hour: Mon-Fri; In Between 5am-5pm $12; 2 Hours: Mon-Fri; In Between 5am-5pm $16; 3 Hours: Mon-Fri; In Between 5am-5pm $20; 12 Hours:  $23; 24 Hours:  $33; 1 Hour: Sat-Sun; In Between 5am-5pm $12; ,Mon-Sun:  24 Hours,$12.00 ,https://www.parkme.com/lot/52976/cityplace-garage-boston-ma?entry-date=2022-01-24T13:33&duration=60
14, 40 Beach St Garage,"40 Beach St Boston, MA 02111, US ",30 Min:  $5; 1 Hour:  $12; 1.5 Hours:  $18; 2 Hours:  $22; 12 Hours:  $24; 24 Hours:  $27; Early Bird: Mon-Fri; In Between 4am-9:30am / Out By 6pm $17; Evening: Mon-Thu; In After 5pm / Out By 5am $13; Evening: Fri; In After 5pm / Out By 5am $14; 12 Hours: Sat-Sun $14; 24 Hours: Sat-Sun $19; ,Monthly:  $165-$335,$12.00 ,https://www.parkme.com/lot/75578/40-beach-st?entry-date=2022-01-24T13:33&duration=60
15, Pilot House,"269 Commercial Str Boston, MA 02110, US ",Each 30 Min:  $6; 10 Hours:  $20; 12 Hours:  $22; 24 Hours:  $30; ,Mon-Wed:  7am-11:30pm,$12.00 ,https://www.parkme.com/lot/112775
16, 660 Washington St Garage,"660 Washington St Boston, MA 02111, US ",30 Min:  $7; 1 Hour:  $13; 1.5 Hours:  $21; 2 Hours:  $23; 12 Hours:  $27; 24 Hours:  $31; Early Bird: Mon-Fri; In Between 5am-9am / Out By 7pm $19; Evening: Mon-Fri; 6pm-5am $17; 12 Hours: Sat-Sun; Out By 5am $17; Sat-Sun:  $20; ,Monthly:  $335-$395,$13.00 ,https://www.parkme.com/lot/15258/660-washington-st?entry-date=2022-01-24T13:33&duration=60
17, 101 Merrimac Parking,"19 Lancaster St Boston, MA 02114, US ",1 Hour:  $13; 2 Hours:  $18; 3 Hours:  $21; Daily Max:  $25; ,Monthly:  $465,$13.00 ,https://www.parkme.com/lot/24108
18, Tufts Medical Center,"274 Tremont St Boston, MA 02116, US ",10 Min:  Free; 1 Hour:  $13; 2 Hours:  $22; 3 Hours:  $28; 7 Hours:  $32; Daily Max:  $40; 30 Min: With Validation Free; 2.5 Hours: With Validation $11; 5.5 Hours: With Validation $13; 7.5 Hours: With Validation $18; Max: With Validation $25; ,Mon-Sun:  24 Hours,$13.00 ,https://www.parkme.com/lot/26160
19, Lewis Wharf,"641 Lewis Wharf Boston, MA 02109, US ",30 Min:  $7; 1 Hour:  $13; 1.5 Hours:  $19; 10 Hours:  $23; 24 Hours:  $30; Early Bird: Mon-Fri; In 5am-9am / Out By 6pm $20; Evening: Mon-Fri; In After 4pm $18; Sat-Sun:  $24; ,Monthly:  $370,$13.00 ,https://www.parkme.com/lot/32098
21, Motor Mart Garage,"201 Stuart St Boston, MA 02116, US ",1 Hour:  $14; 2 Hours:  $20; 10 Hours:  $30; 24 Hours:  $40; Early Bird: Mon-Fri; In Between 5am-10am; 12 Hours $24; 1 Hour: Mon-Fri; In After 3pm $10; 2 Hours: Mon-Fri; In After 3pm $18; 10 Hours: Mon-Fri; In After 3pm $25; 24 Hours: Mon-Fri; In After 3pm $40; 1 Hour: Sat-Sun $10; 2 Hours: Sat-Sun $18; 10 Hours: Sat-Sun $25; 24 Hours: Sat-Sun $40; 3 Hours: In After 5pm; With Validation $10; ,Monthly:  $173-$525,$14.00 ,https://www.parkme.com/lot/26170/motor-mart-garage-boston-ma?entry-date=2022-01-24T13:33&duration=60
22, North Station Garage,"121 Nashua St Boston, MA 02114, US ",Each 30 Min: Mon-Fri; 5am-6pm $7; 2 Hours: Mon-Fri; 6am-6pm $21; 3 Hours: Mon-Fri; 6am-6pm $25; 12 Hours: Mon-Fri; 6am-6pm $30; Max: Mon-Fri $68; Early Bird: In By 9am / Out By 6pm $22; Evening: In After 6pm $10; 10 Hours: Sat-Sun $10; Event:  $48; ,Monthly:  $380,$14.00 ,https://www.parkme.com/lot/32146
23, Revere,"200 Stuart St Boston, MA 02116, US ",1 Hour:  $14; 2 Hours:  $22; 5 Hours:  $32; 10 Hours:  $36; 24 Hours:  $42; 3 Hours: In After 3pm; With Validation $10; ,Monthly:  $173-$525,$14.00 ,https://www.parkme.com/lot/32158/revere-boston-ma?entry-date=2022-01-24T13:33&duration=60
24, Seaport Parking,"181 Seaport Blvd Boston, MA 02210, US ",1 Hour:  $14; 3 Hours:  $30; 6 Hours:  $34; 10 Hours:  $36; 24 Hours:  $40; ,Monthly:  $130-$410,$14.00 ,https://www.parkme.com/lot/32202/seaport-parking-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
25, 200 Newbury Street,"109-127 Arlington St Boston, MA 02116, US ",30 Min:  $7; 1 Hour:  $14; 10 Hours:  $21; 24 Hours:  $38; Evening: In After 5pm; 10 Hours $15; 10 Hours: Sat-Sun $15; ,Monthly:  $350,$14.00 ,https://www.parkme.com/lot/80332/200-newbury-street-boston-ma?entry-date=2022-01-24T13:33&duration=60
26, The Beverly,"101 Beverly St Boston, MA 02114, US ",1 Hour:  $14; 2 Hours:  $22; 3 Hours:  $28; 12 Hours:  $32; 24 Hours:  $53; Early Bird: In Between 5am-9am / Out By 6pm $23; Evening: In After 5pm / Out By 4am $16; 12 Hours: Sat-Sun $16; ,Mon-Sun:  24 Hours,$14.00 ,https://www.parkme.com/lot/327827/the-beverly-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
27, North End,"600 Commercial St Boston, MA 02109, US ",30 Min:  $9; 1 Hour:  $15; 1.5 Hours:  $19; 2 Hours:  $23; 10 Hours:  $27; 24 Hours:  $37; Early Bird: Mon-Fri; In Between 5am-9am / Out By 6pm $22; Evening: Sun-Wed; In After 5pm / Out By 5am $19; Evening: Thu-Sat; In After 5pm / Out By 5am $25; Event:  $44; ,Monthly:  $370,$15.00 ,https://www.parkme.com/lot/15223/north-end-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
28, 588 Commercial St Parking,"588 Commercial St Boston, MA 02109, US ",30 Min:  $9; 1 Hour:  $15; 2 Hours:  $23; 10 Hours:  $28; 24 Hours:  $36; Early Bird: Mon-Fri; In Between 5am-9am / Out By 6pm $22; 10 Hours: Sun-Thu; In After 4pm / Out By 4am $18; 10 Hours: Fri-Sat; In After 4pm / Out By 4am $23; ,Mon-Sun:  24 Hours,$15.00 ,https://www.parkme.com/lot/24122/588-commercial-st?entry-date=2022-01-24T13:33&duration=60
29, AVA Theater District,"45 Stuart St Boston, MA 02116, US ",4 Hours:  $15; 8 Hours:  $18; 12 Hours:  $34; 24 Hours:  $43; ,Monthly:  $385,$15.00 ,https://www.parkme.com/lot/32163/ava-theater-district-boston-ma?entry-date=2022-01-24T13:33&duration=60
30, St James at Arlington,"10 St James Ave Boston, MA 02116, US ",1 Hour:  $15; 2 Hours:  $30; Daily Max:  $38; 1 Hour: Mon-Fri; In After 5pm $15; Max: Mon-Fri; In After 5pm $30; Max: Sat-Sun $38; ,Monthly:  $470-$675,$15.00 ,https://www.parkme.com/lot/80423/st-james-at-arlington-boston-ma?entry-date=2022-01-24T13:33&duration=60
31, 400 Stuart St Garage,"400 Stuart St Boston, MA 02116, US ",30 Min:  $10; 1 Hour:  $14; 2 Hours:  $24; 3 Hours:  $32; 6 Hours:  $36; 24 Hours:  $38; Early Bird: Mon-Fri; In By 9am / Out Between 2pm-7pm $20; Evening: Mon-Fri; In After 4pm / Out By 8am $12; Sat-Sun: 12 Hours $14; Tax Not Included:  10.0%; ,Monthly:  $435,$15.40 ,https://www.parkme.com/lot/26828/400-stuart-st?entry-date=2022-01-24T13:33&duration=60
32, Lafayette Garage,"1 Ave De Lafayette Boston, MA 02111, US ",30 Min:  $8; 1 Hour:  $16; 1.5 Hours:  $24; 2 Hours:  $32; 12 Hours:  $38; 24 Hours:  $40; Evening: Mon-Fri; In After 4pm / Out By 5am; 12 Hours $20; 12 Hours: Sat-Sun $20; ,Monthly:  $185-$675,$16.00 ,https://www.parkme.com/lot/52809/lafayette-garage-boston-ma?entry-date=2022-01-24T13:33&duration=60
33, 241 Friend St Parking,"241 Friend St Boston, MA 02114, US ",Each 30 Min:  $8; Daily Max:  $25; Event:  $35; ,Mon-Fri:  8am-5pm,$16.00 ,https://www.parkme.com/lot/52858
34, Ritz Carlton Boston Common,"47 Boylston St Boston, MA 02116, US ",30 Min: Mon-Fri; 5am-4:59pm $8; 1 Hour: Mon-Fri; 5am-4:59pm $16; 1.5 Hours: Mon-Fri; 5am-4:59pm $24; 2 Hours: Mon-Fri; 5am-4:59pm $30; 12 Hours: Mon-Fri; 5am-4:59pm $36; Max: Mon-Fri; 5am-4:59pm $38; 1 Hour: Mon-Fri; 5pm-4:59am $5; 1.5 Hours: Mon-Fri; 5pm-4:59am $15; Max: Mon; 5pm-4:59am $25; Max: Tue-Fri; 5pm-4:59am $20; Early Bird: Mon-Fri; In Between 5am-9:30am / Out Between 1pm-6pm $19; Valet:  $65; ,Monthly:  $400,$16.00 ,https://www.parkme.com/lot/80307/ritz-carlton-boston-common-boston-ma?entry-date=2022-01-24T13:33&duration=60
35, 34 Cooper St Parking,"34 Cooper St Boston, MA 02113, US ",30 Min:  $12; 1 Hour:  $18; 10 Hours:  $24; 24 Hours:  $39; Event:  $38; ,Monthly:  $420,$18.00 ,https://www.parkme.com/lot/24125/34-cooper-st?entry-date=2022-01-24T13:33&duration=60
36, 501 Boylston Garage,"84 Newbury St Boston, MA 02116, US ",30 Min:  $10; 1 Hour:  $19; 1.5 Hours:  $29; Daily Max:  $40; ,Monthly:  $140-$685,$19.00 ,https://www.parkme.com/lot/115710
37, 381 Congress St Parking,"381 Congress St Boston, MA 02210, US ",Max: 6am-6pm $20; Max: Mon-Fri; 6pm-6am $10; Sat-Sun:  $10; ,Mon-Sun:  24 Hours,$20.00 ,https://www.parkme.com/lot/24328/381-congress-st?entry-date=2022-01-24T13:33&duration=60
38, 37 Merrimac St Parking,"37 Merrimac St Boston, MA 02114, US ",Mon-Fri: In By 1pm $25; Mon-Fri: In After 1pm $20; Evening: In After 4pm $10; Max: 6am-6pm $27; Event:  $30; ,Mon-Fri:  6am-5:30pm,$20.00 ,https://www.parkme.com/lot/26797/37-merrimac-st?entry-date=2022-01-24T13:33&duration=60
39, 234 Berkeley St Parking,"70 Newbury St Boston, MA 02116, US ",Each 30 Min:  $10; Daily Max:  $45; ,Mon-Sat:  7am-8pm,$20.00 ,https://www.parkme.com/lot/32168
40, Theatre District Parking,"98 Seaver Pl Boston, MA 02116, US ",Mon-Fri:  $20; Sat-Sun:  $30; Event:  $35; ,Mon-Fri:  6am-3am,$20.00 ,https://www.parkme.com/lot/75556
41, Watermark Seaport,"44 Autumn Ln Boston, MA 02210, US ",10 Hours:  $20; 20 Hours:  $40; 24 Hours:  $60; Early Bird: In Before 9am $28; Evening: In After 5pm $17; 12 Hours: Sat-Sun $14; ,Monthly:  $465,$20.00 ,https://www.parkme.com/lot/232629/watermark-seaport-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
43, Chinatown,"85 Essex St Boston, MA 02111, US ",Mon-Fri: 6am-5pm $24; Sat-Sun: 8am-5pm $15; Evening: Sun-Thu; In After 5pm $12; Evening: Fri-Sat; In After 5pm $15; ,Monthly:  $450,$24.00 ,https://www.parkme.com/lot/24158
44, DoubleTree By Hilton,"821 Washington St Boston, MA 02111, US ",Daily Max:  $25; 24 Hours:  $45; ,Mon-Sun:  24 Hours,$25.00 ,https://www.parkme.com/lot/15266/doubletree-by-hilton-boston-ma?entry-date=2022-01-24T13:33&duration=60
45, The Back Bay Garage,"113 St James Ave Boston, MA 02116, US ",30 Min:  $12; 1 Hour:  $26; 2 Hours:  $38; Max: Out By 5am $43; Early Bird: In By 9am / Out Between 4pm-12am $28; 10 Min: Mon-Fri; 5pm-5am $5; 30 Min: Mon-Fri; 5pm-5am $8; Max: Mon-Fri; 5pm-5am $10; 1 Hour: Sat-Sun $12; 2 Hours: Sat-Sun $16; Max: Sat-Sun; Out By 5am $22; ,Monthly:  $140-$685,$26.00 ,https://www.parkme.com/lot/52875/the-back-bay-garage-boston-ma?entry-date=2022-01-24T13:33&duration=60
46, 390 Congress St Parking,"21 Boston Wharf Rd Boston, MA 02210, US ",Daily Max:  $28; ,Mon-Sun:  24 Hours,$28.00 ,https://www.parkme.com/lot/75575/390-congress-st?entry-date=2022-01-24T13:33&duration=60
49, 80 Northern Ave.,"80 Northern Ave Boston, MA 02210, US ",Max: Mon-Fri; 7am-5pm $33; Early Bird: Mon-Fri; In By 7am $25; Evening: Mon-Fri; 5pm-5am $19; 10 Hours: Sat-Sun $19; ,Mon-Sun:  24 Hours,$33.00 ,https://www.parkme.com/lot/32193/80-northern-ave-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
50, The Westin,"10 Huntington Ave Boston, MA 02116, US ",Daily Max:  $40; Valet:  $65; Oversize:  $85; ,Mon-Sun:  24 Hours,$40.00 ,https://www.parkme.com/lot/27051
51, Battery Wharf Hotel,"393 Commercial Street Boston, MA 02109, US ",24 Hours:  $50; ,Mon-Sun:  24 Hours,$50.00 ,https://www.parkme.com/lot/32097/battery-wharf-hotel-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
63, 6 Whittier Pl Parking,"6 Whittier Pl Boston, MA 02114, US ",30 Min:  $6; 1 Hour:  $9; 1.5 Hours:  $12; 2 Hours:  $15; 3 Hours:  $18; 4 Hours:  $20; 12 Hours:  $25; 24 Hours:  $30; Event: Out By 5am $38; ,Mon-Sun:  24 Hours,$9.00 ,https://www.parkme.com/lot/80354
74, Municipal Lot #018,"450 W Broadway Boston, MA 02127, US ",2 Hours: Mon-Fri; 8am-6pm Free; Mon-Fri: 6pm-8am Free; Sat-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/26928
75, Boston Fish Pier - West Lot,"Boston Fish Pier Boston, MA 02210, US ",1 Hour:  $8; 2 Hours:  $19; 3 Hours:  $25; 4 Hours:  $32; Max: Out By 3am $38; ,Mon-Sun:  24 Hours,$8.00,https://www.parkme.com/lot/115652
76, Parking Lot H,"Port Ln Boston, MA 02210, US ",Event:  $30; 1 Hour:  $9; 2 Hours:  $19; 3 Hours:  $25; 4 Hours:  $32; Daily Max:  $38; ,Mon-Sun:  24 Hours,$9.00,https://www.parkme.com/lot/372071/parking-lot-h-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
77, Channel Center Garage,"Medallion Ave Boston, MA 02127, US ",30 Min: Mon-Fri $6; 1 Hour: Mon-Fri $12; 2 Hours: Mon-Fri $18; 3 Hours: Mon-Fri $20; Max: Mon-Fri; Out By 3:30am $28; Early Bird: In By 9am / Out By 7pm $21; Evening: In After 6pm $8; Sat-Sun:  $8; ,Mon-Fri:  5:30am-10pm,$12.00,https://www.parkme.com/lot/24334/channel-center-garage-boston-ma?entry-date=2022-01-24T13:33&duration=60
78, Necco Street Garage,"10 Necco St Boston, MA 02210, US ",30 Min:  $7; 1 Hour:  $12; 1.5 Hours:  $19; Daily Max:  $30; Sat-Sun:  $8; Early Bird: In By 8am / Out By 6pm $26; Evening: In After 5pm / Out By 1am; With Validation $5; ,Monthly:  $150-$590,$12.00,https://www.parkme.com/lot/26186/necco-street-garage-boston-ma?entry-date=2022-01-24T13:33&duration=60
80, Stillings Garage,"11 Stillings St Boston, MA 02210, US ",30 Min:  $7; 1 Hour:  $12; 1.5 Hours:  $17; Daily Max:  $25; Early Bird: In By 8am / Out By 6pm $20; Evening: Mon-Fri; In After 5pm $10; Sat-Sun:  $16; Max: With Validation $23; ,Monthly:  $150-$480,$12.00,https://www.parkme.com/lot/32201/stillings-garage-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
81, D Lot,"68 Butler St Boston, MA 02210, US ",1 Hour:  $12; 2 Hours:  $18; 3 Hours:  $20; Max: Out By 7am $25; Evening: In After 7pm / Out By 7am $15; ,Monthly:  $200-$295,$12.00,https://www.parkme.com/lot/213569/d-lot-boston-ma?entry-date=2022-01-24T13:33&duration=60
82, Seaport Parking,"181 Seaport Blvd Boston, MA 02210, US ",1 Hour:  $14; 3 Hours:  $30; 6 Hours:  $34; 10 Hours:  $36; 24 Hours:  $40; ,Monthly:  $130-$410,$14.00,https://www.parkme.com/lot/32202/seaport-parking-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
83, Farnsworth Garage,"17 Farnsworth St Boston, MA 02210, US ",30 Min:  $11; 1 Hours:  $16; 1.5 Hours:  $21; 2 Hours:  $26; Daily Max:  $32; Max: With Validation $24; ,Monthly:  $500,$16.00,https://www.parkme.com/lot/15346/farnsworth-garage-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
84, 55 Park Ln Garage,"55 Park Ln Boston, MA 02210, US ",30 Min:  $11; 1 Hour:  $16; 1.5 Hours:  $22; 2 Hours:  $28; 3 Hours:  $30; 6 Hours:  $34; 10 Hours:  $36; 24 Hours:  $39; ,Monthly:  $205-$410,$16.00,https://www.parkme.com/lot/52879/55-park-ln?entry-date=2022-01-24T13:33&duration=60
85, 321 Congress St Parking,"321 Congress St Boston, MA 02210, US ",1 Hour:  $17; Daily Max:  $32; Early Bird: Mon-Fri; In By 9am / Out By 3am $28; Evening: Mon-Fri; In After 5pm / Out By 3am $17; Sat-Sun:  $17; ,Monthly:  $450,$17.00,https://www.parkme.com/lot/24331/321-congress-st?entry-date=2022-01-24T13:33&duration=60
87, 381 Congress St Parking,"381 Congress St Boston, MA 02210, US ",Max: 6am-6pm $20; Max: Mon-Fri; 6pm-6am $10; Sat-Sun:  $10; ,Mon-Sun:  24 Hours,$20.00,https://www.parkme.com/lot/24328/381-congress-st?entry-date=2022-01-24T13:33&duration=60
88, Watermark Seaport,"44 Autumn Ln Boston, MA 02210, US ",10 Hours:  $20; 20 Hours:  $40; 24 Hours:  $60; Early Bird: In Before 9am $28; Evening: In After 5pm $17; 12 Hours: Sat-Sun $14; ,Monthly:  $465,$20.00,https://www.parkme.com/lot/232629/watermark-seaport-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
89, Independence Wharf,"470 Atlantic Ave Boston, MA 02210, US ",1 Hour:  $22; 1.5 Hours:  $30; Daily Max:  $39; ,Monthly:  $475,$22.00,https://www.parkme.com/lot/26154/independence-wharf-boston-ma?entry-date=2022-01-24T13:33&duration=60
91, 125 High St Garage,"115 Purchase St Boston, MA 02110, US ",20 Min:  $8; 40 Min:  $15; 1 Hour:  $22; 80 Min:  $26; 100 Min:  $32; Daily Max:  $39; Early Bird: In By 9am / Out After 12pm $27; Evening: In After 4pm / Out By 4am $10; ,Monthly:  $520-$650,$22.00,https://www.parkme.com/lot/80375/125-high-st?entry-date=2022-01-24T13:33&duration=60
92, Atlantic Wharf,"280 Congress St Boston, MA 02210, US ",30 Min:  $12; 1 Hour:  $22; 1.5 Hours:  $32; 2 Hours:  $40; 24 Hours:  $42; Evening: Mon-Fri; 5pm-3am $12; Sat-Sun:  $12; Mon-Fri: In After 5pm; With Validation $9; Sat-Sun: With Validation $9; ,Monthly:  $130-$510,$22.00,https://www.parkme.com/lot/187478/atlantic-wharf-boston-ma?entry-date=2022-01-24T13:33&duration=60
93, 100 High Street Parking,"100 High St Boston, MA 02110, US ",Each 20 Min:  $8; Daily Max:  $42; Early Bird: Mon-Fri; In Between 5am-9am / Out By 9pm $28; Evening: Mon-Fri; In After 5:30pm / Out By 5am $11; Sat-Sun:  $11; ,Monthly:  $510-$612,$24.00,https://www.parkme.com/lot/75607/100-high-street-parking-boston-ma?entry-date=2022-01-24T13:33&duration=60
94, 225 Franklin St Garage,"94 Pearl St Boston, MA 02110, US ",20 Min:  $9; 40 Min:  $18; 1 Hour:  $26; 80 Min:  $34; Max: Out By 5am $43; Early Bird: In Between 5am-9am / Out By 7pm $33; Evening: In After 5pm / Out By 5am $10; Sat-Sun:  $10; ,Monthly:  $510-$520,$26.00,https://www.parkme.com/lot/75555/225-franklin-st?entry-date=2022-01-24T13:33&duration=60
95, 390 Congress St Parking,"21 Boston Wharf Rd Boston, MA 02210, US ",Daily Max:  $28; ,Mon-Sun:  24 Hours,$28.00,https://www.parkme.com/lot/75575/390-congress-st?entry-date=2022-01-24T13:33&duration=60
96, International Place,"55 Purchase St Boston, MA 02110, US ",20 Min:  $9; 40 Min:  $17; 80 Min:  $30; 100 Min:  $35; Daily Max:  $42; Early Bird: In Between 4am-9am / Out Between 2pm-9pm $29; Evening: Mon-Fri; In After 4:30pm / Out By 6:30am $14; Sat-Sun:  $14; ,Mon-Sun:  24 Hours,$30.00,https://www.parkme.com/lot/75509/international-place-south-boston-ma?entry-date=2022-01-24T13:33&duration=60
98, Legal Harborside,"270 Northern Ave Boston, MA 02210, US ",Daily Max:  $30; Max: With Validation $21; ,Sun-Thu:  12pm-9pm,$30.00,https://www.parkme.com/lot/115709/legal-harborside-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
99, One Seaport,"75 Sleeper St Boston, MA 02210, US ",30 Min:  $16; 1 Hour:  $31; 24 Hours:  $39; Each Add'l 24 Hours:  $49; Evening: Sun-Thu; In After 5pm / Out By 5am $25; Evening: Fri-Sat; In After 5pm / Out By 5am $30; ,Monthly:  $385-$475,$31.00,https://www.parkme.com/lot/326834/one-seaport-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
100, 80 Northern Ave.,"80 Northern Ave Boston, MA 02210, US ",Max: Mon-Fri; 7am-5pm $33; Early Bird: Mon-Fri; In By 7am $25; Evening: Mon-Fri; 5pm-5am $19; 10 Hours: Sat-Sun $19; ,Mon-Sun:  24 Hours,$33.00,https://www.parkme.com/lot/32193/80-northern-ave-boston-12-ma?entry-date=2022-01-24T13:33&duration=60
101, South Boston Waterfront Transportation Center,"503 Congress St Boston, MA 02210, US ",1 Hour:  $9; 2 Hours:  $19; 3 Hours:  $25; 5 Hours:  $32; Daily Max:  $38; Early Bird: In By 9am / Out By 5pm $25; Event:  $21-$25; ,Monthly:  $100-$500,$500.00,https://www.parkme.com/lot/369726
110, Rite Aid,"710 E Broadway Boston, MA 02127, US ",Customers Only:  Free; ,Mon-Fri:  7am-10pm,$0.00,https://www.parkme.com/lot/26188
111, Eastern Bank,"372 Athens St Boston, MA 02127, US ",1 Hour: Customers Only Free; ,Mon-Fri:  9am-4pm,$0.00,https://www.parkme.com/lot/26922
112, 11 Elkins St Parking,"11 Elkins St Boston, MA 02127, US ",Mon-Sun:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/26958
113, 12 Channel St Parking,"12 Channel St Boston, MA 02210, US ",Customers Only:  Free; ,Mon-Sun:  24 Hours,$0.00,https://www.parkme.com/lot/32196
114, 25 Dorchester Ave Parking,"25 Dorchester Ave Boston, MA 02205, US ",Guests Only:  Free; ,,$0.00,https://www.parkme.com/lot/1198090
115, Boston Design Center,"13 Drydock Ave Boston, MA 02210, US ",3 Hours:  $20; 8 Hours:  $25; 24 Hours:  $35; ,Mon-Sun:  8am-9pm,$20.00,https://www.parkme.com/lot/24325
