id,OBJECTID,taz,type,town,state,town_state,mpo,in_brmpo,subregion,Shape_Leng,Shape_Area,WeightSum,WeightxHRSum,WeightxDRSum,WeightxMRSum,Weighted_Average_HR,Weighted_Average_DR,Weighted_Average_MR,,Weighted_Average_MR_2010,MR25,Match_MR25,PERCENT DIFF,Weighted_Average_DR_2010,DR25,Match_DR25,PERCENT DIFF,Weighted_Average_HR_2010,HR25,Match_HR25,PERCENT DIFF
1895,79,55,I,HANOVER,MA,"HANOVER,MA",OCPC,0,,12176.05664,6049365.088,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1899,80,56,I,HANOVER,MA,"HANOVER,MA",OCPC,0,,8519.614055,1689442.602,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1872,81,74,I,COHASSET,MA,"COHASSET,MA",BRMPO,1,SSC,15917.39323,12245693.54,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1911,82,75,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,13671.39363,4274928.507,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1914,83,76,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,13333.0062,5611867.194,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1907,84,57,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,18852.23271,15233546.75,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1915,85,58,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,24388.27526,7437556.688,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2637,86,59,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,54416.25322,15373445.83,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2644,87,60,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,12968.40402,2992985.687,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2645,88,61,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,11511.50569,4050879.791,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2667,89,62,I,DUXBURY,MA,"DUXBURY,MA",OCPC,0,,16982.55998,4137334.785,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1893,90,63,I,HANOVER,MA,"HANOVER,MA",OCPC,0,,13800.49879,7617382.969,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1894,91,64,I,HANOVER,MA,"HANOVER,MA",OCPC,0,,13900.64718,6624870.292,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1908,92,65,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,15576.42731,8794925.581,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1912,93,66,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,16666.16506,10030861.79,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1916,94,67,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,25822.60983,6932942.05,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
2640,95,68,I,MARSHFIELD,MA,"MARSHFIELD,MA",BRMPO,1,SSC,9178.270076,2317279.549,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1883,96,87,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,10816.51062,4446789.737,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1866,97,88,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,7802.059112,2705816.139,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1890,98,69,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,8269.281175,2591307.504,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1892,99,70,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,7251.242152,1532039.63,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1901,100,71,I,HANOVER,MA,"HANOVER,MA",OCPC,0,,4621.023434,588968.0669,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1906,101,73,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,16770.44405,14340552.56,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1125,102,161,I,QUINCY,MA,"QUINCY,MA",BRMPO,1,ICC,2839.925945,341078.4069,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
4109,103,1223,I,ATTLEBORO,MA,"ATTLEBORO,MA",SRPEDD,0,,2880.7163,408093.6695,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1889,104,77,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,7819.703145,2389449.133,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1891,105,78,I,ROCKLAND,MA,"ROCKLAND,MA",BRMPO,1,SSC,5965.277742,1663785.118,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1806,106,131,I,BRAINTREE,MA,"BRAINTREE,MA",BRMPO,1,SSC,5373.825286,1864192.945,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1864,107,79,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,11534.79263,4484267.998,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1905,108,80,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,7516.90464,2916039.688,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1868,109,81,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,19157.78621,14782752.57,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
208347,110,1230,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,1691.299999,148934.5655,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1860,111,82,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,12114.46801,3720943.346,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1859,112,83,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,24899.25998,5411896.32,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1869,113,84,I,COHASSET,MA,"COHASSET,MA",BRMPO,1,SSC,23289.81457,7616983.773,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1870,114,85,I,COHASSET,MA,"COHASSET,MA",BRMPO,1,SSC,17551.1604,3188129.803,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1910,115,86,I,SCITUATE,MA,"SCITUATE,MA",BRMPO,1,SSC,25381.55432,5055417.05,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1834,116,89,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,6528.203844,1996003.121,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1832,117,90,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,5714.799392,1767458.775,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1862,118,91,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,13036.44831,6965720.209,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1902,119,92,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,3958.776153,741309.2207,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1090,120,203,I,QUINCY,MA,"QUINCY,MA",BRMPO,1,ICC,3039.903417,442118.0385,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
94,121,5660,I,BOSTON,MA,"BOSTON,MA",BRMPO,1,ICC,978.4476897,43488.24326,16,284.6170027,649,9634.371243,17.78856267,40.5625,602.1482027,,415.4822599,406.9031252,DIFF,0.979351382,27.988125,27.988125,SAME,1,12.27410824,10.46193623,DIFF,0.852358153
1904,122,93,I,NORWELL,MA,"NORWELL,MA",BRMPO,1,SSC,5141.082865,1326441.072,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1863,123,94,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,10560.57572,4109796.874,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1847,124,97,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,7127.006341,2938604.959,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1702,125,137,I,RANDOLPH,MA,"RANDOLPH,MA",BRMPO,1,TRIC,6277.259409,1850638.004,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1861,126,95,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,7439.78398,3008511.486,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1112,127,204,I,QUINCY,MA,"QUINCY,MA",BRMPO,1,ICC,1575.508933,103299.2516,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
3030,128,1460,I,NORTHBRIDGE,MA,"NORTHBRIDGE,MA",CMRPC,0,,5969.158735,1303104.627,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1858,129,96,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,5397.479228,828147.9897,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1088,130,180,I,QUINCY,MA,"QUINCY,MA",BRMPO,1,ICC,5042.563657,1044916.091,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1844,131,98,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,8511.062821,2565131.451,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1838,132,99,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,5817.601925,1572448.76,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1837,133,100,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,6888.491723,1861123.782,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1831,134,101,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,4349.81484,877651.4643,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1118,135,181,I,QUINCY,MA,"QUINCY,MA",BRMPO,1,ICC,1596.814121,116064.1089,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1828,136,102,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,4872.664832,1094589.254,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1823,137,103,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,9243.191917,1871183.714,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1856,138,104,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,10680.42429,3141738.891,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1853,139,105,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,10898.8146,2389455.579,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1846,140,106,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,8427.349157,3088044.686,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1840,141,109,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,3731.449648,469240.2154,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
208324,142,1231,I,PAWTUCKET,RI,"PAWTUCKET,RI",,0,,2379.122269,347847.8448,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1845,143,107,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,6426.735718,1918457.509,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1843,144,108,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,2629.713735,362824.7907,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
208423,145,1232,I,EAST PROVIDENCE,RI,"EAST PROVIDENCE,RI",,0,,3511.049718,568057.7388,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1836,146,110,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,5861.97342,1667587.398,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1835,147,111,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,7271.170501,2163013.023,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1120,148,182,I,QUINCY,MA,"QUINCY,MA",BRMPO,1,ICC,3787.620659,858093.5325,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1116,149,183,I,QUINCY,MA,"QUINCY,MA",BRMPO,1,ICC,1851.274024,179078.5794,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1826,150,114,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,5793.001865,1669817.737,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1827,151,115,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,4116.610584,988532.186,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1819,152,116,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,8648.722059,1183729.377,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1688,153,185,I,CANTON,MA,"CANTON,MA",BRMPO,1,TRIC,11663.25316,7483346.816,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1820,154,117,I,WEYMOUTH,MA,"WEYMOUTH,MA",BRMPO,1,SSC,7300.195586,1239176.524,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
1854,155,118,I,HINGHAM,MA,"HINGHAM,MA",BRMPO,1,SSC,5946.511537,578312.6564,16,0,0,0,0,0,0,,0,,,,0,,,,0,,,
